"Name","State","User","Created","Runtime","Sweep","activation_functions","batch_size","epochs","learning_rate","optimizers","epoch","final_test_acc","train_acc","train_loss","val_acc","val_loss"
"curious-butterfly-51","finished","","2025-10-26T13:45:11.000Z","9852","","SiLU","64","150","0.005","Nesterov-SGD","149","85.15","75.96","0.72456392230974","73.68","0.7743435049358802"
"vital-sweep-14","finished","","2025-10-26T10:55:27.000Z","6918","4dq6gg05","SiLU","64","100","0.005","Nesterov-SGD","99","82.68","72.24","0.7892158292233944","70.3","0.8567493059967137"
"lively-sweep-13","finished","","2025-10-26T09:08:05.000Z","6441","4dq6gg05","SiLU","64","100","0.005","Nesterov-SGD","99","83.5","73.18888888888888","0.7897339846346189","70.82","0.8432208541073377"
"usual-sweep-12","finished","","2025-10-26T07:20:28.000Z","6452","4dq6gg05","SiLU","64","100","0.005","Nesterov-SGD","99","83.42","73.06","0.7884319834834472","70.74","0.8400196621689615"
"warm-sweep-11","finished","","2025-10-26T06:29:42.000Z","3041","4dq6gg05","SiLU","128","50","0.001","Nesterov-SGD","49","66.49","54.13333333333333","1.2735054577616127","54.28","1.2850278526544572"
"deft-sweep-10","finished","","2025-10-26T05:35:53.000Z","3224","4dq6gg05","SiLU","64","50","0.005","Nesterov-SGD","49","72.83","63.98888888888889","0.9270058502019808","62.26","1.051929178871686"
"wise-sweep-9","finished","","2025-10-26T04:43:37.000Z","3130","4dq6gg05","SiLU","128","50","0.005","Nesterov-SGD","49","72.73","58.65111111111111","1.0006582135842603","58.6","1.2569866463541983"
"swift-sweep-8","finished","","2025-10-26T03:49:24.000Z","3251","4dq6gg05","SiLU","64","50","0.005","Nesterov-SGD","49","79.32","68.32444444444444","0.9242642622610384","67.2","0.9354610201678698"
"whole-sweep-7","finished","","2025-10-26T02:54:42.000Z","3279","4dq6gg05","ELU","64","50","0.0005","Nesterov-SGD","49","58.92","49.14666666666667","1.409025232053616","49.76","1.4541355733630024"
"robust-sweep-6","finished","","2025-10-25T20:36:04.000Z","22491","4dq6gg05","LeakyReLU","64","50","0.0005","Nesterov-SGD","49","65.41","54.45333333333333","1.256355874663727","54.18","1.3143326979649217"
"warm-sweep-5","finished","","2025-10-25T18:48:02.000Z","6477","4dq6gg05","ELU","64","100","0.0001","AdamW","99","71.47","60.95555555555555","1.0957844432612711","58.92","1.1694719180276123"
"trim-sweep-4","finished","","2025-10-25T17:56:48.000Z","3072","4dq6gg05","GELU","128","50","0.001","Nesterov-SGD","49","67.17","56.45111111111111","1.2319814857434144","57.04","1.25481573343277"
"proud-sweep-3","finished","","2025-10-25T17:03:03.000Z","3222","4dq6gg05","PReLU","64","50","0.005","Nesterov-SGD","49","81.05","69.8488888888889","0.842374967834489","66.74","0.9468557389476632"
"dandy-sweep-2","finished","","2025-10-25T16:11:43.000Z","3079","4dq6gg05","LeakyReLU","128","50","0.00005","RMSprop","49","63.77","51.98444444444444","1.3145238215273076","52.96","1.3544168502092362"
"mild-sweep-1","finished","","2025-10-25T15:18:32.000Z","3181","4dq6gg05","ELU","128","50","0.001","AdamW","49","78.58","66.08666666666667","0.9582819368012928","64.26","1.0107634767889977"
"earthy-sweep-6","finished","","2025-10-23T17:39:39.000Z","2820","u8pwkupg","GELU","512","50","0.01","Adam","49","75.35","63.95777777777778","0.9290175139904022","63.96","1.047608697414398"
"avid-sweep-5","finished","","2025-10-23T16:50:56.000Z","2917","u8pwkupg","ReLU","512","50","0.005","SGD","49","49.47","41.48","1.6533009762113744","41.8","1.642580246925354"
"noble-sweep-4","finished","","2025-10-23T16:02:28.000Z","2907","u8pwkupg","SiLU","512","50","0.005","RMSprop","49","72.49","59.39555555555555","0.9351726065982472","57.86","1.2577221512794494"
"deep-sweep-3","finished","","2025-10-23T15:13:32.000Z","2924","u8pwkupg","GELU","512","50","0.01","SGD","49","56.14","46.24666666666667","1.5137747824192047","46.82","1.50151424407959"
"glorious-sweep-2","finished","","2025-10-23T14:24:14.000Z","2956","u8pwkupg","SiLU","512","50","0.005","Adam","49","72.82","55.52444444444444","0.8623408289118246","55.44","1.4416165828704834"
"trim-sweep-1","finished","","2025-10-23T13:35:30.000Z","2920","u8pwkupg","GELU","512","50","0.005","Adam","49","80.54","69.02222222222223","0.8486427542838183","66.98","0.9461904048919678"
